source,target,weight,common_tags
"aaron-krane
","rich-keck
",1.0,CEO
"aaron-krane
","richard-barajas
",0.0,
"aaron-krane
","richard-davan
",0.0,
"aaron-krane
","richard-hagen-jr
",0.0,
"aaron-krane
","richard-tyc
",0.0,
"aaron-krane
","rita-sharma
",0.0,
"aaron-krane
","rob-ianelli
",0.0,
"aaron-krane
","robb-lejuwaan
",0.0,
"aaron-krane
","robert-binder
",1.0,CEO
"aaron-krane
","robert-reiner
",1.0,CEO
"aaron-krane
","rod-rudzin
",0.0,
"aaron-krane
","roee-adler
",1.0,company
"aaron-krane
","rohith-bhat
",0.0,
"aaron-krane
","ron-palmeri
",0.0,
"aaron-krane
","rowan-mccann
",0.0,
"aaron-krane
","ruben-daniels
",2.0,"CEO, company"
"aaron-krane
","ruud-van-der-linden
",0.0,
"aaron-krane
","ryan-dilworth
",0.0,
"aaron-krane
","ryan-wells
",0.0,
"aaron-krane
","sal-siino
",1.0,company
"aaron-krane
","sam-nunez
",1.0,company
"aaron-krane
","samy-mizrahi
",0.0,
"aaron-krane
","sandra-hartley
",0.0,
"aaron-krane
","sarina-maier
",0.0,
"aaron-krane
","satya-iluri
",0.0,
"aaron-krane
","schwark-satyavolu-2
",1.0,company
"aaron-krane
","scott-minick
",0.0,
"aaron-krane
","scott-s-beers
",2.0,"CEO, company"
"aaron-krane
","scott-walchek
",2.0,"CEO, Yahoo"
"aaron-krane
","shai-n-gozani
",1.0,company
"aaron-krane
","shannon-rentner
",0.0,
"aaron-krane
","shash-deshmukh
",0.0,
"aaron-krane
","shawn-c-rathje
",0.0,
"aaron-krane
","shimon-hason
",2.0,"company, investors"
"aaron-krane
","shweta-gupta
",1.0,Yahoo
"aaron-krane
","skip-goode
",1.0,time
"aaron-krane
","spiros-martzoukos
",0.0,
"aaron-krane
","stephen-m-carter
",0.0,
"aaron-krane
","steve-davis-5
",0.0,
"aaron-krane
","steve-hafner
",0.0,
"aaron-krane
","steve-oetegenn
",1.0,CEO
"aaron-krane
","steve-wilhite
",1.0,CEO
"aaron-krane
","stian-rustad
",1.0,CEO
"aaron-krane
","stuart-kightley
",0.0,
